Question supercategory,Question subcategory,Question,Answer ID,Answer Guideline,Answer Gpage,Answer,Comment
Simple,Text,Wann ist die dreidimensionale Bildgebung bei der Entfernung von Weisheitszähnen indiziert?,0.1,007-003,16,"Eine dreidimensionale Bildgebung (beispielsweise DVT/CT) kann indiziert sein, wenn in der konventionellen zweidimensionalen Bildgebung Hinweise auf eine unmittelbare Lagebeziehung zu Risikostrukturen oder pathologischen Vera?nderungen vorhanden sind und gleichzeitig aus Sicht des Behandlers weitere ra?umliche Informationen entweder fu?r die Risikoaufkla?rung des Patienten, Eingriffsplanung oder auch fu?r die intraoperative Orientierung erforderlich sind.",Beispielfrage
Simple,Text,Welche Untersuchungen sind Notwenig für eine angemessene Therapienentscheidung?  ,1.1,007-003,9,"Allgemeine und spezielle Anamnese 
Inspektion ggf. Palpation 
Ro?ntgenuntersuchung unter vollsta?ndiger Darstellung des Zahnes und Darstellung der 
relevanten umgebenden anatomischen Strukturen ",Diagnostik
Simple,Text,Welche Symptome können im Zusammenhang mit Weisheitszähne vorkommen? ,2.1,007-003,8,"Perikoronare Infektion 
Erweiterung des radiologischen Perikoronarraumes 
Perikoronare Auftreibung (beispielsweise durch Zystenbildung) 
Schmerzen/Spannungsgefu?hl im Kiefer-Gesichtsbereich 
Parodontale Scha?den, insbesondere distal an 12-Jahr Molaren 
Resorptionen an Nachbarza?hnen (siehe Hintergrundtext unter 9.2) 
Elongation/Kippung 
kario?se Zersto?rung/Pulpitis ",Diagnostik
Complex,Multiple sections,Welche Chirurgischen Therapien werden zur Weisheitszahnentfernung angewendet?,3.1,007-003,10,"Operative Therapie:
-Inzision und Drainage 
-Chirurgische Freilegung 
-Chirurgische Entfernung 
-Intentionelle chirurgische Teilentfernung (Koronektomie) in Ausnahmefa?llen bei hohem 
Risiko von Nervscha?den  
-Transplantation",Multiple sections 
Complex,Multiple sections,Welche Chirurgischen Therapien werden zur Weisheitszahnentfernung angewendet?,3.2,007-003,19,"Weitere Maßnahmen: 
-Koronektomie:  bei hohem Risiko einer Verletzung des N. alveolaris inferior auf die vollsta?ndige Wurzelentfernung zu verzichten und allein die Krone und das Follikelgewebe des Weisheitszahnes als Ursache der Perikoronitis zu beseitigen. 
-Piezo-Osteotomie: Vorteile der Piezochirurgie bei Schmerzbelastung, Mundo?ffnung, Schwellung, aber auch signifikant längere Operationszeiten gegenüber konventionellen Osteotomie- Techniken  ",Multiple sections 
Simple,Text,Welche konservativen Therapien werden zur Weisheitszahnentfernung angewendet? ,4.1,007-003,10,"Konservative Therapie: 
-lokale antiseptische Maßnahmen bei akuten Entzündungen 
-Antibiotikatherapie bei akuten Infektionen mit Ausbreitungstendenz ",Therapie
Simple,Text,Was sind mögliche Komplikationen aus dem Belassen der Weisheitszähne? ,5.1,007-003,12,"Mögliche Komplikationen beim Belassen von Weisheitszähnen sind Infektionen aufgrund von Perikoronitis, Resorptionen an benachbarten Zähnen, parodontale Schädigungen des benachbarten zweiten Molaren sowie kariöse Defekte am Weisheitszahn oder den Nachbarzähnen.   ",Komplikationen
Simple,Text,Welche Röntgenuntersuchungen können im Einzellfall hilfreich für die vollständigen Darstellung des Weisheitszahnes und den umgebenden Strukturen sein? ,6.1,007-003,9,"Digitale Volumentomographie oder Computertomographie bei kritischer Lagebeziehung des 
Zahnes zur umgebenden Struktur, insbesondere zum N. alveolaris inferior (siehe 
Hintergrundtext unter 9.1) ",Differentialdiagnostik
Simple,Text,Welche Bildgebende Diagnostik kann für den Nachweis einer odontogenen Infektion verwendet werden und welche weitere Methode kann bei einer odontogenen Infektion mit Ausbreitungstendens trotz angemessener Therapie durchgeführt werden?,7.1,007-006,17,"Ultraschalluntersuchung stellt eine einfache und effiziente Methode dar, um eine Einschmelzung einer odontogenen Infektion nachzuweisen und eine mo?gliche Ausbreitungstendenz der odontogenen Infektion einzuscha?tzen.
Bei weiterem Fortschreiten der Infektion und/oder wenn keine Verbesserungen der klinischen Symptome und/oder der Entzu?ndungsparameter nachzuweisen sind, stellt die Schichtbildgebung eine Mo?glichkeit zur weiterfu?hrenden Diagnostik und eventuell zur Verlaufskontrolle der odontogenen Infektion dar. Die Computertomographie, aber auch die digitale Volumentomographie, die Magnetresonanztomographie, und die Szintigrahphie sind in der Literatur zur weiterfu?hrenden Diagnostik beschrieben ",Diagnostik
Simple,Text,Bei welchen klinischen Zeichen ist eine Ausbreitungstendenz der odontogene Infektion wahrscheinlich? ,8.1,007-006,16,"Treten bei Patienten mit einer odontogenen Infektion z.B. eine extraorale Schwellung, Schluckbeschwerden, eine Kieferklemme, eine kloßige Sprache oder Fieber auf, ist eine Ausbreitungstendenz der odontogenen Infektion wahrscheinlich. Die Mundo?ffnung ist gegebenenfalls eingeschra?nkt, der Mundboden angehoben und/ oder der Unterkiefer nicht mehr durchtastbar. Es kann bereits eine kloßige Sprache und/oder Atemnot bestehen. Druckpunkte retromolar, im Bereich der Vena angularis, retromaxilla?r oder temporal weisen zusa?tzlich auf eine Ausbreitung der odontogenen Infektion hin",Diagnostik
Simple,Text,Wann könnte bei einer odontogenen Infektion eine Wurzelspitzenresektion indiziert sein? ,9.1,007-006,16,"Sollte der verursachende Zahn bereits endodontisch und stiftprothetisch versorgt sein und, unter Beru?cksichtigung der allgemeinen medizinischen Situation eine Revision nicht mo?glich/sinnvoll sein, so kann nach Inzision und Drainage eine Wurzelspitzenresektion indiziert sein. ",Therapie
